hub_id,company_name,sido,address,matched_address,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item,일반창고면적,냉동냉장창고면적,보관장소면적
WH_03468,(주)삼일씨앤에프,경기도,경기도 용인시 처인구 이동읍 덕성산단2로50번길 8 주식회사 삼일씨앤에프,경기 용인시 처인구 이동읍 덕성산단2로50번길 8,37.1746734144859,127.208586870549,6282.0,6282000.0,628200.0,Mixed,6282,0,0
WH_03469,엔씨에이취코리아(주),충청북도,충청북도 음성군 대금로 742-16 ,충북 음성군 대소읍 대금로 742-16,36.9722533152794,127.51789039293,1044.0,1044000.0,104400.0,Mixed,1044,0,0
WH_03470,부산탱크터미널(주),부산광역시,부산광역시 사하구 감천항로291번길 73 부산탱크터미널(주),부산 사하구 감천항로291번길 73,35.0682302249602,128.993782922404,26442.0,26442000.0,2644200.0,Mixed,26442,0,0
WH_03471,에스와이탱크터미널(주),전라남도,전라남도 여수시 낙포단지길 152 (낙포동) ,전남 여수시 낙포단지길 152,34.8614827552424,127.77019661414,27857.0,27857000.0,2785700.0,Mixed,27857,0,0
WH_03472,케이디 물류,경기도,경기도 파주시 탄현면 방촌로 1095 가동 나동 ,경기 파주시 탄현면 방촌로 1095,37.8286391405031,126.740808481137,2563.0,2563000.0,256300.0,Mixed,2563,0,0
WH_03473,대달산업㈜,경북,경북 영천시 금호읍 영천산단로 189 대달산업㈜,경북 영천시 금호읍 영천산단로 189,35.9130678916505,128.944716551205,14164.4,14164400.0,1416440.0,Mixed,14164.4,0,0
WH_03474,주식회사 디에이치트레이딩,경기도,경기도 파주시 탄현면 방촌로 1095 나동 1층,경기 파주시 탄현면 방촌로 1095,37.8286391405031,126.740808481137,2563.0,2563000.0,256300.0,Mixed,2563,0,0
WH_03475,제니스로지스,경기도,경기도 김포시 대곶면 대곶로331번길 10 쇄암리 387,경기 김포시 대곶면 대곶로331번길 10,37.6736535944309,126.554118312771,12258.0,12258000.0,1225800.0,Mixed,12258,0,0
WH_03476,주식회사 신양,경기도,경기도 평택시 포승읍 평택항만길 188 주식회사 신양,경기 평택시 포승읍 평택항만길 188,36.9664423587511,126.841826921496,16499.5,16499500.0,1649950.0,Mixed,16499.5,0,0
WH_03477,(주)덕천물류,경기도,경기도 평택시 양교길 246 ,경기 평택시 오성면 양교길 246,37.0190351547762,126.959568816508,8299.0,8299000.0,829900.0,Mixed,8299,0,0
WH_03478,주식회사 포항국제물류센터 냉동창고,경상북도,경상북도 포항시 북구 흥해읍 영일만항로 236 .,경북 포항시 북구 흥해읍 영일만항로 236,36.1001456321546,129.434077667847,49086.0,49086000.0,4908600.0,Mixed,49086,0,0
WH_03479,이화산업(주)인천공장,인천광역시,인천광역시 서구 석남동 223-1 ,인천 서구 석남동 223-1,37.5048153436873,126.665780993055,42000.0,42000000.0,4200000.0,Mixed,42000,0,0
WH_03480,한국통상주식회사 케이디아이탱크터미널,전라북도,전라북도 군산시 외항안길 63 (소룡동) ,,35.7175,127.153,37751.17,37751170.0,3775117.0,Mixed,37751.17,0,0
WH_03481,남덕소재 주식회사,전라북도,전라북도 군산시 장산로 214 남덕소재,,35.7175,127.153,15455.0,15455000.0,1545500.0,Mixed,15455,0,0
WH_03482,화성엘티(주),경기도,경기도 화성시 장안면 장안로227번길 134-6 화성엘티(주),경기 화성시 만세구 장안면 장안로227번길 134-6,37.0933102523393,126.84764700335,5064.0,5064000.0,506400.0,Mixed,5064,0,0
WH_03483,제이에이치화학공업(주),경상북도,경상북도 김천시 어모면 산업단지1로 83 제이에이치화학공업(주),경북 김천시 어모면 산업단지1로 83,36.1580554672111,128.122644686501,33056.5,33056500.0,3305650.0,Mixed,33056.5,0,0
